gene	gene_id	transcript	oe_lof_upper	obs_lof	exp_lof	mu_lof	cds_length	canonical	chr.hg38	gene_start	gene_end	transcript_start	transcript_end	gene_length	transcript_length	ccr_length
MYZAP	ENSG00000263155	ENST00000267853	1.236	27	30.115	2.674305e-06	1398	1	15	57591904	57685364	57591904	57685364	93461	93461	1348
ZNF234	ENSG00000263002	ENST00000426739	1.252	20	23.211	1.9826975e-06	2100	1	19	44141554	44160313	44141554	44160313	18760	18760	2082
MRPL12	ENSG00000262814	ENST00000333676	1.203	5	8.7284	8.21688e-07	594	1	17	81703367	81707517	81703367	81707517	4151	4151	523
OR1D5	ENSG00000262628	ENST00000575751	1.383	3	5.5113	3.918495e-07	936	1	17	3062669	3063607	3062669	3063607	939	939	0
CORO7	ENSG00000262246	ENST00000251166	1.017	45	56.74	5.2864675e-06	2775	1	16	4354542	4425705	4354542	4416596	71164	62055	2927
MIA	ENSG00000261857	ENST00000263369	1.489	8	9.6123	1.3690445e-06	393	1	19	40771648	40777490	40775521	40777490	5843	1970	396
GOLGA8H	ENSG00000261794	ENST00000566740	1.977	42	22.135	1.722905e-06	1896	1	15	30604028	30617752	30604028	30617752	13725	13725	0
TCF24	ENSG00000261787	ENST00000563496	1.873	2	2.0414	1.4434145e-07	501	1	8	66946501	66962591	66946501	66962591	16091	16091	112
RP11-520P18.5	ENSG00000261667	ENST00000562505	1.687	2	3.2153	2.300445e-07	414	1	8	143080630	143083486	143080630	143083486	2857	2857	0
MUC22	ENSG00000261272	ENST00000561890	0.711	6	16.656	1.18189675e-06	5319	1	6	31010474	31035402	31010474	31035402	24929	24929	0
ZNF865	ENSG00000261221	ENST00000568956	0.163	0	18.36	1.4901135e-06	3177	1	19	55605647	55617269	55605647	55617269	11623	11623	680
CLEC19A	ENSG00000261210	ENST00000465414	1.605	4	5.4177	5.0037275e-07	408	1	16	19285731	19322145	19285779	19304400	36415	18622	410
RP11-295D22.1	ENSG00000260970	ENST00000565320	1.07	0	2.7237	1.9301025e-07	177	1	9	119495375	119524125	119495375	119524125	28751	28751	0
CCPG1	ENSG00000260916	ENST00000310958	0.553	10	30.684	2.8902125e-06	2271	0	15	55340032	55408510	55355250	55408510	68479	53261	2560
XKR7	ENSG00000260903	ENST00000562532	0.382	2	16.502	1.18658675e-06	1737	1	20	31968151	32003387	31968151	32003387	35237	35237	1592
C16orf95	ENSG00000260456	ENST00000253461	1.906	8	5.9304	9.4655925e-07	474	0	16	87083562	87317420	87302814	87317416	233859	14603	528
RP11-297M9.1	ENSG00000260362	ENST00000561538	1.968	4	1.1236	1.40416925e-07	297	1	16	9666883	9676917	9666883	9676917	10035	10035	0
PMF1-BGLAP	ENSG00000260238	ENST00000320139	1.454	10	11.62	1.16735775e-06	525	0	1	156212982	156243332	156213009	156243321	30351	30313	721
FRRS1L	ENSG00000260230	ENST00000561981	1.088	6	10.88	8.7141875e-07	1032	1	9	109130293	109167249	109130293	109167249	36957	36957	644
RP11-210M15.2	ENSG00000259495	ENST00000559008	1.886	2	1.9005	1.344824e-07	168	1	15	80344765	80411930	80373413	80403575	67166	30163	0
MRPL46	ENSG00000259494	ENST00000312475	1.316	12	14.771	1.62131625e-06	837	1	15	88459477	88467390	88459478	88467388	7914	7911	835
RP11-321F6.1	ENSG00000259471	ENST00000558797	1.776	3	3.6236	2.587875e-07	339	1	15	66582190	66685798	66582190	66685794	103609	103605	0
RP11-625H11.1	ENSG00000259458	ENST00000558940	1.858	4	3.7627	2.6867e-07	342	1	15	62637172	62645291	62637172	62645291	8120	8120	0
THTPA	ENSG00000259431	ENST00000288014	1.549	9	10.016	1.25415625e-06	690	1	14	23555988	23560271	23556271	23560271	4284	4001	687
GH1	ENSG00000259384	ENST00000323322	0.914	4	10.014	9.037965e-07	651	1	17	63917200	63918839	63917203	63918839	1640	1637	0
CTD-2054N24.2	ENSG00000259363	ENST00000558188	1.942	3	1.654	1.16454375e-07	231	0	15	99805793	100011133	99807828	99878389	205341	70562	0
RP11-1085N6.3	ENSG00000259133	ENST00000554597	1.774	0	0.80201	5.74592e-08	120	1	14	56648965	56797583	56648965	56730506	148619	81542	0
TPRX2P	ENSG00000259009	ENST00000535362	1.549	2	3.787	2.693735e-07	978	1	19	47859235	47861721	47859235	47861721	2487	2487	824
TMEM179	ENSG00000258986	ENST00000341595	0.803	0	3.7121	2.66459e-07	591	1	14	104474678	104605647	104594080	104605647	130970	11568	594
DUXA	ENSG00000258873	ENST00000554048	1.51	12	12.815	1.1279115e-06	612	1	19	57154021	57167485	57154021	57167485	13465	13465	614
CTD-2014B16.3	ENSG00000258847	ENST00000554907	1.791	2	2.6803	1.903805e-07	258	1	14	65956922	66174567	65957297	66004523	217646	47227	0
OR4C13	ENSG00000258817	ENST00000555099	1.975	11	4.6941	3.36139e-07	927	1	11	49952391	49953419	49952391	49953419	1029	1029	0
RP11-322L20.1	ENSG00000258804	ENST00000557527	1.658	2	3.344	2.3806775e-07	294	1	14	86905778	86922755	86905778	86922755	16978	16978	0
RP11-944C7.1	ENSG00000258792	ENST00000550332	1.725	1	2.0843	1.5008e-07	219	1	14	89628728	89771939	89628921	89631566	143212	2646	0
RP11-293M10.1	ENSG00000258740	ENST00000553510	1.867	1	1.2506	8.8411525e-08	348	1	14	75210494	75279526	75238616	75278388	69033	39773	0
TRIM6-TRIM34	ENSG00000258588	ENST00000354852	1.034	34	43.757	4.2841475e-06	2526	1	11	5596725	5644398	5596725	5644398	47674	47674	2507
RP11-796G6.2	ENSG00000258512	ENST00000556973	1.018	1	4.6382	3.2788125e-07	342	1	14	101730437	101732534	101730437	101732534	2098	2098	0
RP11-187E13.1	ENSG00000258474	ENST00000553330	1.776	1	1.8483	1.31180975e-07	237	1	14	31944370	32029055	31944370	31950385	84686	6016	0
PDF	ENSG00000258429	ENST00000288022	1.904	7	5.2773	3.8543425e-07	729	1	16	69326913	69330588	69326913	69330588	3676	3676	332
OC90	ENSG00000258417	ENST00000262283	1.278	29	30.929	1.4601e-06	2067	1	8	132024238	132085655	132024238	132085655	61418	61418	0
ZNF578	ENSG00000258405	ENST00000421239	1.865	4	3.686	2.6017775e-07	1770	1	19	52453553	52516882	52453553	52516882	63330	63330	0
RTEL1	ENSG00000258366	ENST00000318100	0.53	30	76.76	6.7199325e-06	4200	0	20	63657810	63696253	63658314	63696243	38444	37930	4034
RP11-536G4.1	ENSG00000258292	ENST00000553095	1.905	1	0.85441	6.087955e-08	186	1	12	95755513	95823314	95803078	95823314	67802	20237	0
RP11-362K2.2	ENSG00000258231	ENST00000546977	1.746	2	2.9293	2.08571e-07	369	1	12	58514134	58813060	58544124	58813060	298927	268937	0
PRSS58	ENSG00000258223	ENST00000547058	1.801	12	10.136	8.7935825e-07	723	1	7	142252143	142258058	142252143	142258058	5916	5916	723
CTD-2021H9.3	ENSG00000258053	ENST00000549357	1.862	3	2.9535	2.068625e-07	249	1	12	71034122	71118572	71047402	71118569	84451	71168	0
TEN1	ENSG00000257949	ENST00000397640	1.609	3	4.4971	3.1927175e-07	369	1	17	75979240	76000586	75979240	76000586	21347	21347	378
CUX1	ENSG00000257923	ENST00000292535	0.184	7	71.569	6.15395e-06	4515	1	7	101815904	102283958	101817626	102258233	468055	440608	4037
RP11-552I14.1	ENSG00000257860	ENST00000547418	1.907	3	2.3943	1.7069925e-07	195	1	12	103151824	103179247	103151842	103168234	27424	16393	0
RP11-1220K2.2	ENSG00000257743	ENST00000477922	0.445	30	91.461	1.86193e-06	7545	1	7	142111718	142222324	142111718	142222324	110607	110607	0
CNPY2	ENSG00000257727	ENST00000273308	0.944	6	12.55	1.32802375e-06	546	1	12	56309842	56316119	56309844	56315988	6278	6145	534
RP11-116D17.1	ENSG00000257726	ENST00000547948	1.915	1	0.70609	5.033375e-08	255	1	12	115363012	115364745	115363012	115364745	1734	1734	0
OVCH1-AS1	ENSG00000257599	ENST00000550906	1.026	1	4.5997	8.6897325e-07	377	0	12	29389281	29487908	29389625	29464934	98628	75310	255
FNTB	ENSG00000257365	ENST00000246166	0.509	7	25.844	2.0952575e-06	1311	1	14	64986895	65062652	64986895	65062650	75758	75756	1314
MGAM	ENSG00000257335	ENST00000475668	0.808	107	155.54	8.67315e-06	8259	1	7	141907813	142106747	141995879	142106747	198935	110869	2852
C12orf79	ENSG00000257242	ENST00000546975	1.663	4	5.1154	4.348635e-07	288	0	12	91984976	92142914	91985778	92142668	157939	156891	528
RP11-272B17.2	ENSG00000257230	ENST00000548613	1.957	5	2.4393	1.708835e-07	258	1	12	59484600	59569661	59523278	59524184	85062	907	0
GATC	ENSG00000257218	ENST00000229384	1.841	3	3.1449	4.1143025e-07	142	0	12	120446444	120463749	120446577	120459921	17306	13345	275
CLLU1	ENSG00000257127	ENST00000378485	1.826	4	4.0584	4.467225e-07	363	1	12	92421531	92431002	92423959	92430954	9472	6996	365
LSM14A	ENSG00000257103	ENST00000433627	0.549	7	23.939	2.296425e-06	1389	0	19	34172504	34229288	34172568	34229288	56785	56721	1393
KIAA1147	ENSG00000257093	ENST00000482493	0.851	9	18.445	1.76411e-06	1053	0	7	141656728	141702166	141661930	141701615	45439	39686	1099
LST3	ENSG00000257046	ENST00000381541	1.67	35	27.708	2.38252e-06	2061	0	12	20815674	21090245	20815674	21090245	274572	274572	0
HP	ENSG00000257017	ENST00000355906	1.018	10	16.655	1.33586275e-06	1218	1	16	72054505	72061055	72054505	72061055	6551	6551	0
GPR142	ENSG00000257008	ENST00000335666	1.529	15	15.055	1.37891025e-06	1386	1	17	74367458	74372600	74367458	74372600	5143	5143	1388
KHDC1L	ENSG00000256980	ENST00000370388	1.363	2	4.5067	3.239115e-07	384	1	6	73223544	73225770	73223544	73225496	2227	1953	387
SLC5A8	ENSG00000256870	ENST00000536262	1.196	26	30.153	2.2349525e-06	1830	1	12	101155493	101210238	101155493	101210238	54746	54746	1831
KLRF2	ENSG00000256797	ENST00000535540	1.926	13	8.7052	6.7835825e-07	621	1	12	9881489	9895833	9881489	9895833	14345	14345	507
PGA5	ENSG00000256713	ENST00000312403	1.928	12	8.0189	8.0602675e-07	1164	1	11	61241175	61251444	61241175	61251444	10270	10270	701
ZNF350	ENSG00000256683	ENST00000243644	0.839	8	17.213	1.8654475e-06	1596	1	19	51964340	51986856	51964340	51986840	22517	22501	1592
CLEC12B	ENSG00000256660	ENST00000338896	1.1	10	15.421	1.24139275e-06	828	1	12	10010627	10018796	10010627	10018796	8170	8170	847
OR13A1	ENSG00000256574	ENST00000374401	1.43	5	7.2685	5.156655e-07	984	0	10	45302298	45315608	45302298	45308868	13311	6571	987
POLG2	ENSG00000256525	ENST00000539111	1.059	19	26.337	2.6098175e-06	1455	1	17	64477785	64497054	64477785	64497054	19270	19270	1456
SALL3	ENSG00000256463	ENST00000536229	0.415	4	22.054	2.0909025e-06	3285	0	18	78979818	79002677	78991682	78997322	22860	5641	3302
ASIC5	ENSG00000256394	ENST00000537611	1.367	21	22.117	1.70381e-06	1515	1	4	155829729	155866277	155829729	155866277	36549	36549	1508
ZNF225	ENSG00000256294	ENST00000262894	1.198	2	5.2133	5.1330375e-07	2118	1	19	44112181	44134822	44113399	44134822	22642	21424	2101
SMIM3	ENSG00000256235	ENST00000526627	1.973	4	0.7555	5.4482725e-08	180	1	5	150778757	150796734	150778757	150796734	17978	17978	183
ZNF486	ENSG00000256229	ENST00000335117	1.894	7	5.4541	3.8660675e-07	1389	1	19	20167214	20200488	20167214	20200488	33275	33275	1392
ZNF10	ENSG00000256223	ENST00000248211	0.735	8	19.633	1.489812e-06	1719	1	12	133130575	133159465	133130627	133159465	28891	28839	1720
SMLR1	ENSG00000256162	ENST00000541421	1.541	1	2.758	1.9766675e-07	321	1	6	130827406	130837135	130827406	130837135	9730	9730	322
ZNF432	ENSG00000256087	ENST00000221315	1.146	24	29.447	3.6697575e-06	1956	1	19	52031378	52095738	52031378	52048838	64361	17461	1955
DYX1C1	ENSG00000256061	ENST00000321149	1.115	17	22.863	2.0533825e-06	1260	1	15	55410525	55508234	55430308	55508234	97710	77927	1260
CTSO	ENSG00000256043	ENST00000433477	1.332	14	16.424	1.27918075e-06	963	1	4	155921580	155953912	155924118	155953866	32333	29749	830
CYP2A6	ENSG00000255974	ENST00000301141	1.201	15	19.231	1.509108e-06	1482	1	19	40843541	40850447	40843541	40850447	6907	6907	0
OR6J1	ENSG00000255804	ENST00000540461	1.647	2	3.394	2.3277475e-07	1041	1	14	22630929	22644352	22630929	22644352	13424	13424	1013
OR4D2	ENSG00000255713	ENST00000545221	1.601	5	6.3143	6.103365e-07	921	1	17	58166982	58171411	58166982	58171116	4430	4135	916
OR10G2	ENSG00000255582	ENST00000542433	1.65	4	5.1886	3.61599e-07	930	1	14	21633836	21634940	21633836	21634940	1105	1105	0
FDXACB1	ENSG00000255561	ENST00000260257	1.175	17	21.702	1.6951e-06	1872	1	11	111874056	111881243	111874056	111879165	7188	5110	1872
POLR2M	ENSG00000255529	ENST00000299638	0.729	5	14.425	1.26899675e-06	1104	1	15	57706695	57782762	57706714	57717557	76068	10844	959
NPIPB8	ENSG00000255524	ENST00000529716	1.92	3	2.1731	1.557348e-07	1296	1	16	28637654	28658744	28637654	28658682	21091	21029	0
PRR23D1	ENSG00000255251	ENST00000533250	1.645	0	1.2489	8.8478525e-08	837	1	8	7539627	7542450	7539627	7542450	2824	2824	0
OR5M11	ENSG00000255223	ENST00000528616	1.833	5	4.7596	3.28032e-07	915	1	11	56542340	56543257	56542340	56543257	918	918	911
KRTAP5-9	ENSG00000254997	ENST00000528743	1.933	2	1.1594	8.452385e-08	507	1	11	71548420	71549608	71548420	71549608	1189	1189	315
EEF1G	ENSG00000254772	ENST00000329251	0.173	1	27.378	2.6604025e-06	1311	1	11	62559596	62574086	62559596	62573891	14491	14296	1314
IGLL5	ENSG00000254709	ENST00000526893	1.968	11	5.4842	5.37876e-07	642	1	22	22887780	22896111	22887816	22896111	8332	8296	633
INS	ENSG00000254647	ENST00000250971	1.172	1	3.9885	4.530205e-07	330	0	11	2159779	2161221	2159779	2161221	1443	1443	402
ARMS2	ENSG00000254636	ENST00000528446	1.94	4	2.4048	1.69443e-07	321	1	10	122454653	122457352	122454653	122457352	2700	2700	324
PABPC4L	ENSG00000254535	ENST00000421491	1.207	7	10.884	1.50071625e-06	1110	1	4	134196333	134201789	134196333	134201789	5457	5457	1284
SIGLEC12	ENSG00000254521	ENST00000291707	1.227	22	25.608	2.5870375e-06	1785	1	19	51491227	51501800	51491227	51501800	10574	10574	1852
RP11-849H4.2	ENSG00000254469	ENST00000528184	1.963	4	1.4818	9.4578875e-07	148	0	11	71865504	71928654	71918924	71928594	63151	9671	0
OR4D10	ENSG00000254466	ENST00000530162	1.595	4	5.4709	4.95063e-07	933	1	11	59473315	59479361	59473315	59479361	6047	6047	923
RP11-758M4.1	ENSG00000254349	ENST00000518190	1.903	1	0.87459	4.416975e-07	144	0	8	74599775	74823313	74599775	74703679	223539	103905	0
PCDHGA3	ENSG00000254245	ENST00000253812	0.898	16	27.057	2.455215e-06	2796	1	5	141343829	141512975	141343829	141512975	169147	169147	2772
PINX1	ENSG00000254093	ENST00000314787	1.757	12	10.595	7.66748e-07	984	1	8	10764961	10839884	10764961	10839875	74924	74915	0
ZNF260	ENSG00000254004	ENST00000523638	1.232	8	11.713	1.09804625e-06	1236	1	19	36510687	36528271	36510687	36528271	17585	17585	1230
RP11-521M14.2	ENSG00000253903	ENST00000521869	1.923	1	0.59181	4.17209e-08	109	1	8	27086076	27087783	27086076	27087783	1708	1708	0
ETV3L	ENSG00000253831	ENST00000454449	1.416	12	13.708	1.434202e-06	1083	1	1	157092043	157112412	157092043	157099808	20370	7766	1026
RP11-404L6.2	ENSG00000253787	ENST00000520762	1.862	0	0.32306	2.2718025e-08	159	1	5	68187781	68206007	68189850	68198410	18227	8561	0
PRKDC	ENSG00000253729	ENST00000314191	0.052	5	200.53	1.7247475e-05	12381	1	8	47773111	47960178	47773111	47960136	187068	187026	12291
ATXN7L3B	ENSG00000253719	ENST00000519948	1.744	1	2.0039	1.391188e-07	291	1	12	74537835	74545430	74537835	74545430	7596	7596	294
EIF5AL1	ENSG00000253626	ENST00000520547	1.826	0	0.55045	3.7722675e-08	462	1	10	79512533	79516440	79512533	79516440	3908	3908	0
SLC10A5	ENSG00000253598	ENST00000518568	1.806	10	8.674	6.01258e-07	1314	1	8	81693631	81695058	81693631	81695058	1428	1428	226
TRNP1	ENSG00000253368	ENST00000522111	1.755	0	0.87613	6.4753825e-08	681	1	1	26993692	27001912	26993692	27000886	8221	7195	0
C1orf210	ENSG00000253313	ENST00000423420	1.907	5	3.8378	4.1772825e-07	339	0	1	43281877	43285617	43282661	43285617	3741	2957	342
SERPINE3	ENSG00000253309	ENST00000400389	1.121	12	17.343	1.44993025e-06	1212	0	13	51335773	51364735	51341089	51364282	28963	23194	1300
HOXA10	ENSG00000253293	ENST00000283921	0.416	1	11.41	8.4522175e-07	1230	1	7	27170605	27180261	27170605	27174320	9657	3716	1058
C8orf88	ENSG00000253250	ENST00000517562	0.878	1	5.3974	3.8308925e-07	351	1	8	90958471	90985238	90958471	90985238	26768	26768	302
RP11-67H2.1	ENSG00000253207	ENST00000521500	1.944	2	0.88641	6.22966e-08	84	1	8	113600310	113616958	113600310	113616958	16649	16649	0
RP11-738G5.2	ENSG00000253206	ENST00000520800	1.849	2	2.2647	1.593193e-07	195	1	8	49536386	49554414	49536386	49554414	18029	18029	0
PCDHGA12	ENSG00000253159	ENST00000252085	0.801	14	27.309	2.3645975e-06	2796	1	5	141430507	141512975	141430507	141512975	82469	82469	2774
RGS21	ENSG00000253148	ENST00000417209	1.648	7	7.698	7.470165e-07	456	1	1	192316992	192367285	192316992	192367285	50294	50294	458
OC90	ENSG00000253117	ENST00000254627	1.273	19	21.896	1.80163e-06	1431	1	8	132024216	132059382	132024216	132059382	35167	35167	1512
CTB-78H18.1	ENSG00000253110	ENST00000524175	1.921	2	1.4071	9.825885e-08	525	1	5	171773652	171774739	171773652	171774739	1088	1088	0
PTX4	ENSG00000251692	ENST00000293922	1.64	18	16.14	1.7110125e-06	1419	1	16	1485886	1488981	1485939	1488467	3096	2529	1392
RP11-385D13.1	ENSG00000251537	ENST00000455584	1.144	42	47.478	4.3407625e-06	2859	1	17	15571491	15651653	15571491	15651653	80163	80163	0
SHANK3	ENSG00000251322	ENST00000262795	0.123	2	50.987	4.391515e-06	5241	1	22	50674408	50733212	50674892	50733212	58805	58321	3852
RP11-171N4.2	ENSG00000251283	ENST00000504237	1.734	0	0.95619	1.4098475e-07	189	0	4	156614125	156667509	156634494	156642488	53385	7995	0
ZNF345	ENSG00000251247	ENST00000331800	1.783	4	4.3948	1.50530575e-06	339	0	19	36850361	36913029	36851651	36879574	62669	27924	1383
TMED7-TICAM2	ENSG00000251201	ENST00000282382	0.795	7	16.537	1.8235725e-06	1212	1	5	115578642	115626161	115578642	115626161	47520	47520	1186
PRODH2	ENSG00000250799	ENST00000301175	1.189	22	26.429	2.4818475e-06	1608	1	19	35799988	35813299	35799990	35813299	13312	13310	1617
RP11-6L6.2	ENSG00000250673	ENST00000504313	1.905	5	3.8789	2.8000975e-07	394	1	4	146214515	146232267	146224557	146229056	17753	4500	0
GLI4	ENSG00000250571	ENST00000340042	0.984	6	12.033	8.705645e-07	1128	1	8	143267433	143276931	143267445	143276931	9499	9487	1053
ATP6V1E2	ENSG00000250565	ENST00000306448	1.229	5	8.5377	1.057997e-06	678	1	2	46490750	46542577	46511847	46519957	51828	8111	670
SMIM20	ENSG00000250317	ENST00000506197	1.102	0	2.6336	1.858915e-07	201	1	4	25861830	25929813	25914220	25929812	67984	15593	196
KIAA1456	ENSG00000250305	ENST00000447063	1.964	9	4.559	4.8188075e-07	588	0	8	12945642	13031503	12945642	13031503	85862	85862	1658
RP11-661C8.3	ENSG00000250173	ENST00000511936	1.733	0	0.95968	6.84405e-08	183	1	5	964261	981311	978702	981311	17051	2610	0
CTD-2117L12.1	ENSG00000250127	ENST00000504333	1.676	2	3.2648	2.3203775e-07	360	1	5	58541567	58558243	58541567	58558243	16677	16677	0
PCDHA10	ENSG00000250120	ENST00000307360	1.204	23	27.07	2.2037975e-06	2844	1	5	140855883	141012347	140855897	141012347	156465	156451	2834
RP11-180C1.1	ENSG00000250038	ENST00000507759	1.732	1	2.054	1.450014e-07	306	1	4	28311231	28402957	28362268	28402957	91727	40690	0
PDCD6	ENSG00000249915	ENST00000264933	0.945	5	11.127	9.100275e-07	573	1	5	271621	314974	271646	314974	43354	43329	368
LGALS16	ENSG00000249861	ENST00000392051	1.769	6	6.0605	5.7025375e-07	426	1	19	39655913	39660647	39655913	39660647	4735	4735	429
HS3ST5	ENSG00000249853	ENST00000312719	0.738	3	10.508	8.6522125e-07	1038	1	6	114055596	114343023	114055596	114343023	287428	287428	1041
ZNF564	ENSG00000249709	ENST00000339282	1.032	1	4.5735	3.2325825e-07	1659	1	19	12525373	12551542	12525373	12551482	26170	26110	1717
THEGL	ENSG00000249693	ENST00000512175	1.205	14	18.16	1.5239485e-06	1395	1	4	56530606	56603507	56530606	56603507	72902	72902	945
CLRN2	ENSG00000249581	ENST00000511148	1.606	9	9.5954	9.96625e-07	696	1	4	17515165	17527104	17515165	17527104	11940	11940	688
SPATS1	ENSG00000249481	ENST00000288390	1.256	11	14.495	1.0199745e-06	900	1	6	44342650	44380179	44342749	44377167	37530	34419	903
ZNF324B	ENSG00000249471	ENST00000336614	1.098	9	14.304	1.315746e-06	1632	1	19	58451611	58457833	58451622	58457833	6223	6212	0
NAIP	ENSG00000249437	ENST00000194097	1.306	7	10.044	8.5185475e-07	4209	0	5	70968166	71025339	70968483	71020910	57174	52428	0
TMEM150C	ENSG00000249242	ENST00000449862	0.867	5	12.126	8.582365e-07	747	1	4	82483170	82562357	82483176	82561988	79188	78813	750
HAUS5	ENSG00000249115	ENST00000203166	0.731	23	44.579	4.3410975e-06	1899	1	19	35612735	35625355	35612735	35625355	12621	12621	1953
RP11-45H22.3	ENSG00000249016	ENST00000505950	1.849	1	1.4011	9.912315e-08	306	1	5	54956235	54957846	54956235	54957846	1612	1612	0
FMN1	ENSG00000248905	ENST00000334528	0.934	35	49.687	4.2375825e-06	3588	1	15	32765544	33194714	32765546	33067884	429171	302339	3696
C5orf17	ENSG00000248874	ENST00000507936	1.827	5	4.8151	2.636e-07	474	0	5	23951348	24178273	23951564	23979986	226926	28423	168
RP11-664D7.4	ENSG00000248801	ENST00000512294	1.848	4	3.8639	2.82271e-07	291	1	8	68302228	68331689	68303506	68331509	29462	28004	0
CTD-2203A3.1	ENSG00000248789	ENST00000510583	1.742	1	2.0127	1.4147385e-07	249	1	5	52008031	52080987	52009815	52080987	72957	71173	0
CTC-236F12.4	ENSG00000248727	ENST00000506836	1.848	3	3.0827	2.19157e-07	195	1	5	56449986	56482121	56449986	56481772	32136	31787	0
RP11-766F14.2	ENSG00000248713	ENST00000511828	0.677	21	44.701	4.0610375e-06	5379	1	4	99636529	99657828	99636529	99657828	21300	21300	0
RP11-9B6.1	ENSG00000248511	ENST00000504213	1.841	0	0.46197	3.2312425e-08	171	1	4	92297247	92304217	92297247	92304217	6971	6971	0
ABHD14A	ENSG00000248487	ENST00000273596	1.395	9	11.228	1.0582315e-06	813	1	3	51971426	51981196	51975064	51981196	9771	6133	746
PCP4L1	ENSG00000248485	ENST00000504449	1.644	2	3.4059	2.408315e-07	204	1	1	161258745	161285450	161258745	161285450	26706	26706	207
RP11-826N14.2	ENSG00000248469	ENST00000512675	1.865	0	0.30128	2.120885e-08	186	1	5	176049676	176062131	176049676	176062131	12456	12456	0
TARM1	ENSG00000248385	ENST00000432826	1.542	11	11.716	1.259131e-06	813	1	19	54069895	54081365	54069895	54081365	11471	11471	811
PCDHAC1	ENSG00000248383	ENST00000253807	1.02	20	28.486	2.7391275e-06	2889	1	5	140926299	141012347	140926299	141012347	86049	86049	2895
RP11-62N21.1	ENSG00000248369	ENST00000504357	1.666	2	3.3109	2.371465e-07	353	1	4	132435802	132447235	132435802	132447235	11434	11434	0
INSL3	ENSG00000248099	ENST00000317306	1.602	1	2.5537	6.38778e-07	393	1	19	17816512	17821574	17816512	17821519	5063	5008	366
