gene	oe_lof_upper	obs_lof	exp_lof	mu_lof	total.ptv.count	total.dn.count	total.inh.count	ccr.ptv.count	ccr.dn.count	ccr.inh.count
ENSG00000134247	0.538	13	38.417	3.6878475e-06	1	0	1	0	0	0
ENSG00000134256	0.85	27	43.82	3.3835e-06	4	0	4	1	0	1
ENSG00000162490	1.527	15	15.066	1.48775175e-06	3	0	3	2	0	2
ENSG00000134253	1.08	15	21.395	1.8771725e-06	9	0	9	0	0	0
ENSG00000134258	1.913	12	8.403	1.010092e-06	3	0	3	0	0	0
ENSG00000198162	0.235	3	33.032	2.9478325e-06	1	0	1	0	0	0
ENSG00000215910	1.052	57	67.588	6.134185e-06	17	0	17	0	0	0
ENSG00000196505	0.9	18	29.642	3.1170075e-06	7	0	7	0	0	0
ENSG00000155761	0.626	60	118.81	9.79942e-06	5	0	5	0	0	0
ENSG00000092607	0.437	4	20.935	2.04149e-06	2	0	2	2	0	2
ENSG00000116685	0.755	6	15.686	1.2715595e-06	2	0	2	0	0	0
ENSG00000116882	1.265	16	19.204	2.163765e-06	1	1	0	0	0	0
ENSG00000143067	0.891	6	13.298	1.17445975e-06	20	0	20	1	0	1
ENSG00000162571	1.132	20	25.676	2.0691275e-06	1	0	1	0	0	0
ENSG00000134193	1.252	6	9.4399	6.729815e-07	1	0	1	0	0	0
ENSG00000134250	0.116	6	102.36	9.10463e-06	13	0	13	1	0	1
ENSG00000116688	0.282	5	37.329	3.44514e-06	1	0	1	0	0	0
ENSG00000116691	1.737	27	21.178	2.0500325e-06	11	0	11	1	0	1
ENSG00000186891	1.88	8	6.3711	4.55332e-07	4	0	4	0	0	0
ENSG00000078808	0.962	7	13.672	1.218864e-06	1	0	1	0	0	0
ENSG00000048707	0.348	39	146.35	2.0071525e-05	4	1	3	0	0	0
ENSG00000184163	1.64	11	10.895	7.749555e-07	14	0	14	0	0	0
ENSG00000204518	1.679	6	6.6848	6.1645025e-07	2	0	2	0	0	0
ENSG00000116726	1.258	8	11.464	1.10920175e-06	12	0	12	0	0	0
ENSG00000116721	1.879	14	10.402	7.5983025e-07	7	0	7	0	0	0
ENSG00000162572	1.598	37	30.425	2.9940625e-06	26	0	26	1	0	1
ENSG00000179172	1.768	0	0.82389	5.7645125e-08	13	0	13	0	0	0
ENSG00000120952	1.81	13	10.722	7.90265e-07	30	0	30	0	0	0
ENSG00000243073	1.932	14	9.1359	6.53518e-07	22	0	22	0	0	0
ENSG00000187545	1.542	5	6.6432	4.72149e-07	7	0	7	0	0	0
ENSG00000131584	0.606	16	40.08	3.37479e-06	1	0	1	0	0	0
ENSG00000169962	1.563	34	28.932	2.377495e-06	20	0	20	1	0	1
ENSG00000204479	1.951	9	5.2869	3.726875e-07	2	0	2	0	0	0
ENSG00000162494	1.076	2	5.8368	4.2255225e-07	4	0	4	0	0	0
ENSG00000162576	1.13	13	18.29	1.409144e-06	3	1	2	2	1	1
ENSG00000221978	0.47	7	28.001	2.97212e-06	1	1	0	0	0	0
ENSG00000242485	1.817	8	7.1235	6.4428875e-07	1	0	1	0	0	0
ENSG00000235098	1.947	8	4.8206	5.282615e-07	3	0	3	0	0	0
ENSG00000179403	1.839	2	2.3464	9.9707725e-07	1	0	1	0	0	0
ENSG00000215915	1.174	15	19.669	1.648535e-06	4	0	4	0	0	0
ENSG00000117262	1.485	20	19.556	2.035125e-06	7	0	7	0	0	0
ENSG00000174827	1.714	13	11.727	1.109252e-06	4	0	4	0	0	0
ENSG00000117281	1.513	7	8.5769	7.490935e-07	4	0	4	1	0	1
ENSG00000186141	1.03	22	30.513	2.87899e-06	2	0	2	2	0	2
ENSG00000186364	1.175	13	17.588	1.525456e-06	1	0	1	1	0	1
ENSG00000198483	1.081	43	51.293	4.7511375e-06	19	0	19	18	0	18
ENSG00000143127	0.785	41	67.759	6.87487e-06	1	1	0	0	0	0
ENSG00000168509	0.878	6	13.492	1.55257425e-06	5	0	5	4	0	4
ENSG00000160072	1.477	32	29.105	2.745995e-06	12	0	12	0	0	0
ENSG00000131778	1.444	40	36.054	4.7946875e-06	5	0	5	0	0	0
ENSG00000116128	0.381	9	41.193	4.1719225e-06	1	0	1	0	0	0
ENSG00000188092	1.24	7	10.593	1.2097855e-06	17	0	17	0	0	0
ENSG00000150337	1.083	8	13.326	1.2034875e-06	3	0	3	0	0	0
ENSG00000183598	1.924	4	2.8126	1.9991125e-07	1	0	1	0	0	0
ENSG00000136631	0.746	15	30.964	3.482995e-06	4	1	3	1	0	1
ENSG00000159208	0.452	2	13.938	1.10702425e-06	1	0	1	0	0	0
ENSG00000143369	1.112	16	21.853	3.2195175e-06	4	0	4	0	0	0
ENSG00000143382	1.093	47	54.82	5.28496e-06	3	0	3	0	0	0
ENSG00000143452	0.357	3	21.715	1.76009e-06	2	0	2	0	0	0
ENSG00000143437	0.334	9	47.063	4.042445e-06	1	0	1	1	0	1
ENSG00000143412	1.433	25	24.353	2.4027875e-06	1	0	1	0	0	0
ENSG00000143409	1.185	16	20.504	2.5582275e-06	3	0	3	0	0	0
ENSG00000189337	0.381	8	37.873	3.3896975e-06	1	0	1	1	0	1
ENSG00000163141	1.283	13	16.105	2.098775e-06	2	0	2	0	0	0
ENSG00000143458	0.962	12	20.213	2.19492e-06	1	0	1	0	0	0
ENSG00000143434	0.621	16	39.146	3.8583625e-06	5	0	5	0	0	0
ENSG00000163159	0.847	9	18.546	2.1505325e-06	4	0	4	0	0	0
ENSG00000143390	1.104	20	26.323	3.0721175e-06	2	0	2	0	0	0
ENSG00000143416	1.294	25	26.986	2.348015e-06	2	0	2	0	0	0
ENSG00000143375	0.948	58	76.153	8.7654425e-06	7	0	7	0	0	0
ENSG00000178796	1.86	8	6.6412	3.2299025e-07	1	0	1	0	0	0
ENSG00000196407	1.869	14	10.584	7.47184e-07	1	1	0	0	0	0
ENSG00000182898	1.074	0	2.7147	1.9036375e-07	4	0	4	0	0	0
ENSG00000215853	1.151	9	13.644	1.02357575e-06	9	0	9	0	0	0
ENSG00000197915	1.948	4	2.1501	1.52909075e-07	87	0	87	0	0	0
ENSG00000143631	1.96	4	1.6546	1.152869e-07	107	0	107	0	0	0
ENSG00000143520	1.919	2	1.4461	1.0043635e-07	47	0	47	1	0	1
ENSG00000143536	1.366	7	9.5893	8.5048125e-07	1	0	1	0	0	0
ENSG00000186207	1.845	2	2.2947	1.61940675e-07	1	0	1	0	0	0
ENSG00000197785	0.776	17	32.863	3.2506725e-06	1	0	1	0	0	0
ENSG00000185966	1.5	0	1.6325	1.16213175e-07	2	0	2	0	0	0
ENSG00000163202	1.904	2	1.6695	1.20645225e-07	1	0	1	0	0	0
ENSG00000244057	1.466	0	1.7161	1.2326995e-07	14	0	14	0	0	0
ENSG00000187238	1.926	3	2.0414	1.45066725e-07	2	0	2	0	0	0
ENSG00000187173	1.838	3	3.1739	3.738265e-07	2	0	2	0	0	0
ENSG00000142621	0.788	45	73.211	6.8686725e-07	4	0	4	1	0	1
ENSG00000240386	1.893	3	2.5914	1.826755e-07	8	0	8	0	0	0
ENSG00000184148	1.77	2	2.7996	2.0711375e-07	7	0	7	0	0	0
ENSG00000163216	1.929	2	1.2546	9.1332725e-08	7	0	7	0	0	0
ENSG00000203783	1.935	7	4.559	3.278645e-07	1	0	1	0	0	0
ENSG00000203782	1.081	1	4.3552	3.167425e-07	1	0	1	0	0	0
ENSG00000163221	1.44	0	1.779	1.248679e-07	2	0	2	0	0	0
ENSG00000197364	1.579	1	2.63	1.8460175e-07	1	0	1	0	0	0
ENSG00000196754	1.961	8	4.1204	1.75875e-07	5	0	5	0	0	0
ENSG00000188643	1.89	4	3.3791	2.3595725e-07	6	0	6	0	0	0
ENSG00000189171	1.672	2	3.2822	2.311165e-07	2	0	2	0	0	0
ENSG00000143621	0.247	2	25.481	2.479e-06	1	1	0	0	0	0
ENSG00000143624	0.251	10	67.489	6.3464075e-06	1	1	0	0	0	0
ENSG00000143554	1.412	32	30.436	2.3344475e-06	32	0	32	0	0	0
ENSG00000143552	0.386	24	87.528	8.7332825e-06	5	0	5	0	0	0
ENSG00000143549	0.629	6	18.817	1.73731e-06	1	0	1	1	0	1
ENSG00000160712	0.757	8	19.058	1.7093375e-06	1	1	0	0	0	0
ENSG00000169291	0.283	2	22.279	2.2828575e-06	4	0	4	0	0	0
ENSG00000163239	0.921	11	19.769	1.64168425e-06	2	0	2	0	0	0
ENSG00000215704	1.112	11	16.371	1.341139e-06	8	0	8	0	0	0
ENSG00000143603	0.319	4	28.699	2.549015e-06	29	0	29	9	0	9
ENSG00000132906	0.974	11	18.693	1.58580625e-06	3	0	3	0	0	0
ENSG00000160688	0.592	8	24.363	2.1991075e-06	1	0	1	0	0	0
ENSG00000160685	0.526	3	14.746	1.7518825e-06	8	1	7	0	0	0
ENSG00000143537	0.815	29	48.513	4.9909975e-06	1	0	1	0	0	0
ENSG00000163463	1.462	6	8.0086	7.1288e-07	4	0	4	3	0	3
ENSG00000173171	0.713	5	14.735	1.55029625e-06	3	0	3	0	0	0
ENSG00000177628	0.801	14	27.332	2.5495175e-06	1	0	1	0	0	0
ENSG00000116521	0.705	8	20.467	1.8594175e-06	1	0	1	0	0	0
ENSG00000143627	0.924	14	23.688	2.2647675e-06	1	0	1	0	0	0
ENSG00000160753	0.454	3	17.073	2.39726e-06	1	0	1	1	0	1
ENSG00000116539	0.062	3	124.94	1.38916125e-05	3	0	3	0	0	0
ENSG00000116138	0.87	21	34.754	4.2478e-06	1	0	1	1	0	1
ENSG00000163374	1.257	25	27.786	2.2299275e-06	14	0	14	0	0	0
ENSG00000143622	0.645	4	14.184	1.66335875e-06	1	0	1	0	0	0
ENSG00000132698	1.554	11	11.617	1.38430375e-06	11	0	11	0	0	0
ENSG00000260238	1.454	10	11.62	1.16735775e-06	1	0	1	1	0	1
ENSG00000163472	1.223	10	13.861	1.2907215e-06	3	0	3	0	0	0
ENSG00000183856	0.848	67	96.829	9.4237175e-06	4	0	4	0	0	0
ENSG00000187862	0.957	16	25.381	2.2513675e-06	6	0	6	0	0	0
ENSG00000132702	1.288	11	14.135	1.029388e-06	1	0	1	1	0	1
ENSG00000132688	0.537	20	54.094	4.2905125e-06	2	0	2	1	0	1
ENSG00000027869	1.122	12	17.332	1.4425435e-06	2	1	1	1	1	0
ENSG00000027644	0.951	45	60.699	5.22734e-06	5	0	5	2	0	2
ENSG00000198400	0.678	16	35.829	2.9498425e-06	2	0	2	1	0	1
ENSG00000187800	0.888	40	58.655	5.0690525e-06	2	1	1	0	0	0
ENSG00000160838	0.779	14	28.087	2.3897225e-06	1	0	1	0	0	0
ENSG00000132694	0.195	10	87.067	8.6059825e-06	1	1	0	0	0	0
ENSG00000253831	1.416	12	13.708	1.434202e-06	6	0	6	0	0	0
ENSG00000117036	0.299	1	15.863	1.2846245e-06	1	0	1	0	0	0
ENSG00000162461	1.345	11	13.521	1.24015325e-06	10	0	10	1	0	1
ENSG00000163518	0.942	19	29.604	2.70345e-06	1	0	1	0	0	0
ENSG00000160856	1.279	32	33.594	2.8882025e-06	11	0	11	0	0	0
ENSG00000162458	1.29	10	13.14	1.1053995e-06	7	0	7	0	0	0
ENSG00000132704	1.122	20	25.906	1.8419975e-06	34	0	34	0	0	0
ENSG00000163534	0.938	11	19.421	1.51813625e-06	9	0	9	1	0	1
ENSG00000073754	1.666	23	19.425	1.805985e-06	1	0	1	0	0	0
ENSG00000183853	0.25	4	36.653	3.407285e-06	1	0	1	0	0	0
ENSG00000158473	0.996	12	19.529	1.74066e-06	35	0	35	0	0	0
ENSG00000158477	1.946	29	17.654	1.4036835e-06	19	0	19	0	0	0
ENSG00000158481	1.233	14	17.756	1.53404875e-06	14	0	14	0	0	0
ENSG00000158485	1.338	17	19.049	1.94434e-06	1	0	1	0	0	0
ENSG00000158488	1.583	4	5.5287	1.777175e-06	3	0	3	0	0	0
ENSG00000186306	1.172	2	5.3388	5.00892e-07	5	0	5	0	0	0
ENSG00000196171	1.883	9	7.0092	7.736155e-07	5	0	5	0	0	0
ENSG00000203757	1.89	1	1.0313	7.2559325e-08	2	0	2	0	0	0
ENSG00000163563	1.832	22	16.424	1.3733325e-06	8	0	8	0	0	0
ENSG00000163565	1.014	22	30.977	2.7671e-06	1	1	0	0	0	0
ENSG00000179639	1.478	8	9.69	7.448055e-07	1	0	1	0	0	0
ENSG00000065526	0.071	4	128.99	1.461002e-05	1	1	0	0	0	0
ENSG00000196184	1.929	8	5.4096	5.3594975e-07	3	0	3	0	0	0
ENSG00000184155	1.34	3	5.7133	5.6164425e-07	5	0	5	0	0	0
ENSG00000132703	1.83	2	2.4163	1.7130225e-07	4	0	4	0	0	0
ENSG00000132693	1.921	3	2.1493	1.54426625e-07	2	0	2	0	0	0
ENSG00000158716	1.692	5	5.7887	8.8997775e-07	4	0	4	2	0	2
ENSG00000181036	1.726	30	23.365	1.7371425e-06	1	0	1	0	0	0
ENSG00000158714	1.193	10	14.213	1.449813e-06	5	0	5	0	0	0
ENSG00000243284	0.847	9	18.544	1.7414975e-06	5	1	4	1	0	1
ENSG00000213085	0.998	26	36.156	3.7682475e-06	5	0	5	1	0	1
ENSG00000085552	0.708	28	54.199	5.4425775e-06	2	0	2	1	0	1
ENSG00000183888	1.855	1	1.3533	9.6166775e-08	1	0	1	0	0	0
ENSG00000162728	0.618	3	12.544	1.01952225e-06	1	0	1	0	0	0
ENSG00000132681	0.938	39	54.32	5.314105e-06	13	0	13	0	0	0
ENSG00000173641	1.576	3	4.6462	4.7253425e-07	1	0	1	0	0	0
ENSG00000143318	1.576	25	22.107	1.8838725e-06	3	0	3	0	0	0
ENSG00000186510	1.116	29	35.445	3.0010975e-06	23	0	23	0	0	0
ENSG00000184908	1.239	23	26.309	3.452175e-06	20	0	20	0	0	0
ENSG00000066294	1.317	14	16.617	1.3368845e-06	1	0	1	0	0	0
ENSG00000117091	1.905	2	1.6646	6.884585e-07	1	0	1	0	0	0
ENSG00000026751	0.816	5	12.891	1.054513e-06	1	1	0	0	0	0
ENSG00000122224	1.112	23	29.302	2.706465e-06	30	0	30	0	0	0
ENSG00000179914	1.074	11	16.955	1.5391575e-06	1	0	1	0	0	0
ENSG00000186517	0.209	4	43.695	3.8724325e-06	2	1	1	0	0	0
ENSG00000158796	0.567	4	16.157	1.604516e-06	17	0	17	0	0	0
ENSG00000158850	0.642	7	20.487	2.4778275e-06	2	0	2	0	0	0
ENSG00000143257	1.154	14	18.965	1.9448425e-06	6	0	6	0	0	0
ENSG00000142627	0.555	17	45.915	4.146965e-06	2	0	2	1	0	1
ENSG00000203747	1.328	7	9.8776	7.4565975e-07	3	0	3	0	0	0
ENSG00000197530	0.63	19	44.257	3.9652275e-06	2	0	2	1	0	1
ENSG00000162745	1.056	27	35.275	3.5096275e-06	8	1	7	1	0	1
ENSG00000142632	1.151	33	38.34	3.354355e-06	2	0	2	2	0	2
ENSG00000185860	1.577	4	5.5624	3.92352e-07	2	0	2	0	0	0
ENSG00000117152	1.701	8	8.1135	1.066707e-06	1	0	1	0	0	0
ENSG00000143248	1.504	7	8.6341	6.1661775e-07	1	0	1	0	0	0
ENSG00000143228	0.713	12	27.266	2.198605e-06	1	0	1	0	0	0
ENSG00000187144	1.498	25	23.292	1.821395e-06	3	0	3	0	0	0
ENSG00000162763	1.662	8	8.3938	8.628595e-07	2	0	2	0	0	0
ENSG00000143149	1.138	20	25.528	2.3659375e-06	2	0	2	0	0	0
ENSG00000143167	1.069	11	17.039	1.66004225e-06	3	0	3	0	0	0
ENSG00000198842	1.115	32	38.548	3.28099e-06	21	0	21	0	0	0
ENSG00000198821	0.824	5	12.763	1.118163e-06	8	0	8	0	0	0
ENSG00000143199	1.007	62	76.09	7.61455e-06	7	0	7	0	0	0
ENSG00000143164	0.352	11	51.67	5.9923125e-06	2	2	0	0	0	0
ENSG00000213064	0.9	5	11.686	9.7386175e-07	3	0	3	0	0	0
ENSG00000143178	0.979	11	18.604	1.61240525e-06	4	0	4	1	0	1
ENSG00000143196	1.228	10	13.814	1.1395025e-06	4	0	4	0	0	0
ENSG00000143156	0.909	12	21.382	1.97516e-06	7	0	7	0	0	0
ENSG00000058453	0.71	55	96.935	8.6378075e-06	21	0	21	0	0	0
ENSG00000117477	1.042	19	26.756	2.9267275e-06	3	0	3	0	0	0
ENSG00000117479	0.764	9	20.553	1.76143e-06	1	0	1	0	0	0
ENSG00000198734	0.585	43	94.829	8.3683e-06	2	0	2	1	0	1
ENSG00000174175	1.319	47	45.434	3.50745e-06	12	0	12	0	0	0
ENSG00000188404	1.01	13	20.466	1.4471665e-06	1	0	1	0	0	0
ENSG00000000460	0.73	23	44.636	3.2824975e-06	1	0	1	0	0	0
ENSG00000159363	0.584	24	57.828	4.83874e-06	6	0	6	0	0	0
ENSG00000075945	0.543	17	46.95	4.7436e-06	1	1	0	0	0	0
ENSG00000117118	0.825	9	19.037	2.0795125e-06	1	0	1	1	0	1
ENSG00000120370	0.987	11	18.447	1.8634375e-06	3	0	3	0	0	0
ENSG00000008128	1.38	27	26.982	2.603955e-06	4	0	4	0	0	0
ENSG00000007933	1.584	22	19.774	1.5206655e-06	8	0	8	0	0	0
ENSG00000117507	1.062	10	15.968	1.12812925e-06	7	0	7	0	0	0
ENSG00000094963	1.025	12	18.964	1.51555675e-06	2	0	2	0	0	0
ENSG00000010932	1.093	19	25.514	2.6409725e-06	3	0	3	0	0	0
ENSG00000076258	1.175	18	22.712	1.8693e-06	1	0	1	0	0	0
ENSG00000034971	1.253	19	22.246	2.6459975e-06	9	0	9	0	0	0
ENSG00000142623	1.136	26	31.766	2.5217125e-06	3	0	3	0	0	0
ENSG00000180999	1.583	8	8.9524	6.3155875e-07	1	0	1	1	0	1
ENSG00000117560	1.581	3	4.6235	9.1001075e-07	1	0	1	0	0	0
ENSG00000142619	0.943	20	30.817	2.34835e-06	12	0	12	0	0	0
ENSG00000159339	1.136	27	32.762	2.6178575e-06	3	0	3	0	0	0
ENSG00000162753	0.46	18	58.076	4.4238425e-06	1	1	0	0	0	0
ENSG00000076321	0.511	10	33.195	3.4572e-06	1	0	1	0	0	0
ENSG00000152061	0.509	16	47.713	4.3283675e-06	3	0	3	0	0	0
ENSG00000120332	1.043	49	59.584	4.96872e-06	12	0	12	0	0	0
ENSG00000235750	1.532	1	2.7856	1.978175e-07	19	0	19	0	0	0
ENSG00000008130	0.69	8	20.906	2.61836e-06	1	0	1	0	0	0
ENSG00000116183	0.485	27	76.838	6.0770675e-06	1	0	1	0	0	0
ENSG00000120341	0.962	47	62.31	5.4479375e-06	9	0	9	1	0	1
ENSG00000075391	0.335	12	58.11	5.2007075e-06	1	0	1	1	0	1
ENSG00000116191	0.273	1	17.347	3.515155e-06	1	1	0	0	0	0
ENSG00000116194	1.273	17	20.028	1.5595925e-06	7	0	7	0	0	0
ENSG00000186283	1.692	15	13.404	1.11657175e-06	6	0	6	0	0	0
ENSG00000057252	0.947	19	29.438	2.193915e-06	6	0	6	0	0	0
ENSG00000162779	0.991	47	60.487	5.329515e-06	23	0	23	1	0	1
ENSG00000162782	0.321	10	52.892	5.2730675e-06	8	0	8	0	0	0
ENSG00000169905	1.396	14	15.667	1.252833e-06	1	0	1	1	0	1
ENSG00000143337	0.798	17	31.95	2.7743025e-06	1	0	1	1	0	1
ENSG00000135837	0.184	17	138.87	1.31395375e-05	1	1	0	1	1	0
ENSG00000135835	0.998	29	39.627	3.65954e-06	1	0	1	0	0	0
ENSG00000179930	1.699	17	14.759	1.0617825e-06	2	0	2	0	0	0
ENSG00000121446	0.715	26	50.448	3.87863e-06	2	0	2	0	0	0
ENSG00000135828	1.133	18	23.559	2.298435e-06	7	0	7	0	0	0
ENSG00000143333	1.601	8	8.827	7.7135425e-07	1	0	1	0	0	0
ENSG00000135829	0.105	3	73.576	7.7758525e-06	1	1	0	0	0	0
ENSG00000157060	1.373	26	26.271	2.062595e-06	6	0	6	0	0	0
ENSG00000198756	0.915	21	33.051	2.9357725e-06	1	0	1	0	0	0
ENSG00000135842	1.243	31	33.671	2.882005e-06	8	0	8	0	0	0
ENSG00000179023	1.598	26	22.517	1.90682e-06	4	0	4	1	0	1
ENSG00000143341	0.483	115	278.12	2.4801725e-05	5	0	5	1	0	1
ENSG00000047410	0.111	9	141.15	1.26963325e-05	1	1	0	0	0	0
ENSG00000179002	1.286	26	28.052	2.264935e-06	9	0	9	0	0	0
ENSG00000169885	1.757	11	9.8757	7.0147325e-07	1	0	1	1	0	1
ENSG00000127463	1.011	46	58.151	5.256485e-06	2	0	2	0	0	0
ENSG00000253148	1.648	7	7.698	7.470165e-07	3	0	3	0	0	0
ENSG00000116741	1.417	9	11.045	8.0056625e-07	7	0	7	0	0	0
ENSG00000023572	1.817	6	5.6657	4.3960375e-07	14	3	11	0	0	0
ENSG00000053371	1.522	15	15.125	1.12290325e-06	4	0	4	0	0	0
ENSG00000134371	0.188	3	41.236	4.3967075e-06	1	1	0	0	0	0
ENSG00000040487	1.004	9	15.649	1.60932325e-06	1	0	1	0	0	0
ENSG00000142609	0.793	23	41.067	3.834745e-06	2	0	2	0	0	0
ENSG00000173436	0.584	0	5.1243	3.60259e-07	1	0	1	0	0	0
ENSG00000162687	0.374	17	68.125	6.428315e-06	1	0	1	1	0	1
ENSG00000158747	1.023	3	7.5704	5.3963475e-07	1	0	1	0	0	0
ENSG00000158748	1.275	7	10.301	7.40283e-07	2	0	2	0	0	0
ENSG00000116785	1.603	16	15.048	1.19067375e-06	5	0	5	0	0	0
ENSG00000244414	1.53	12	12.635	8.8900625e-07	6	0	6	0	0	0
ENSG00000134365	1.761	19	15.436	2.2493575e-06	7	0	7	0	0	0
ENSG00000080910	1.818	11	9.2448	6.503355e-07	28	0	28	0	0	0
ENSG00000134389	1.829	41	28.546	2.346675e-06	8	0	8	0	0	0
ENSG00000143278	0.853	20	34.084	2.3934075e-06	1	1	0	0	0	0
ENSG00000066279	0.724	56	96.587	1.670377e-05	2	1	1	1	0	1
ENSG00000162542	1.305	31	32.066	3.158045e-06	12	0	12	1	0	1
ENSG00000203724	1.855	6	5.2768	3.7983975e-07	12	12	0	0	0	0
ENSG00000178828	1.389	2	4.4026	3.194895e-07	17	0	17	0	0	0
ENSG00000151414	0.386	3	20.111	1.93697e-06	1	0	1	1	0	1
ENSG00000169914	0.922	10	18.39	1.722235e-06	6	0	6	0	0	0
ENSG00000188784	1.736	7	7.0803	5.041415e-07	1	0	1	1	0	1
